productCode,name,description,singlePrice,cartonPcsPrice,cartonQty,gstPercentage,hsnCode,weight,stock,category,subCategory,isBestseller,isNewArrival,isTopRanking,imageUrl,imageUrls,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17
234-701,,,,,,,,,,,,false,false,false,/uploads/234-701-1775111575797-ilwplpvw1.jpg,/uploads/234-701-1775111575801-ek39fa6uv.jpg|/uploads/234-701-1775111575805-wovc2nx0y.jpg|/uploads/234-701-1775111575808-jhvskeg25.jpg|/uploads/234-701-1775111575816-sgs4ombjt.jpg|/uploads/234-701-1775111575822-kof0wg99u.jpg|/uploads/234-701-1775111575830-wuxzvqe97.jpg|/uploads/234-701-1775111575837-sm3po49ko.jpg|/uploads/234-701-1775111575842-bkfcd1d2z.jpg|/uploads/234-701-1775111575849-rjjbd5dfb.jpg|/uploads/234-701-1775111575876-u8kl927bc.jpg|/uploads/234-701-1775111575879-jt1tls7pa.jpg|/uploads/234-701-1775111575882-b3uswab8a.jpg|/uploads/234-701-1775111575886-snoi8t8tb.jpg|/uploads/234-701-1775111575892-b8akixoxv.jpg|/uploads/234-701-1775111575898-c1tv3rrtw.jpg,/uploads/234-701-1775111575797-ilwplpvw1.jpg,/uploads/234-701-1775111575801-ek39fa6uv.jpg,/uploads/234-701-1775111575805-wovc2nx0y.jpg,/uploads/234-701-1775111575808-jhvskeg25.jpg,/uploads/234-701-1775111575816-sgs4ombjt.jpg,/uploads/234-701-1775111575822-kof0wg99u.jpg,/uploads/234-701-1775111575830-wuxzvqe97.jpg,/uploads/234-701-1775111575837-sm3po49ko.jpg,/uploads/234-701-1775111575842-bkfcd1d2z.jpg,/uploads/234-701-1775111575849-rjjbd5dfb.jpg,/uploads/234-701-1775111575876-u8kl927bc.jpg,/uploads/234-701-1775111575879-jt1tls7pa.jpg,/uploads/234-701-1775111575882-b3uswab8a.jpg,/uploads/234-701-1775111575886-snoi8t8tb.jpg,/uploads/234-701-1775111575892-b8akixoxv.jpg,/uploads/234-701-1775111575898-c1tv3rrtw.jpg,
235_1550,,,,,,,,,,,,false,false,false,/uploads/235_1550-1775111575903-6wll0oliq.jpg,/uploads/235_1550-1775111575906-3dpo0b8dh.jpg|/uploads/235_1550-1775111575910-ca6muo7ba.jpg|/uploads/235_1550-1775111575913-7aqtrccct.jpg|/uploads/235_1550-1775111575918-t5qn63aeh.jpg|/uploads/235_1550-1775111575923-7dj236zp5.jpg|/uploads/235_1550-1775111575930-69oj94pi9.jpg|/uploads/235_1550-1775111575935-hvh8vf8ck.jpg|/uploads/235_1550-1775111575940-0258svbdv.jpg|/uploads/235_1550-1775111575943-olorecpwb.jpg|/uploads/235_1550-1775111575947-9takeibrb.jpg,/uploads/235_1550-1775111575903-6wll0oliq.jpg,/uploads/235_1550-1775111575906-3dpo0b8dh.jpg,/uploads/235_1550-1775111575910-ca6muo7ba.jpg,/uploads/235_1550-1775111575913-7aqtrccct.jpg,/uploads/235_1550-1775111575918-t5qn63aeh.jpg,/uploads/235_1550-1775111575923-7dj236zp5.jpg,/uploads/235_1550-1775111575930-69oj94pi9.jpg,/uploads/235_1550-1775111575935-hvh8vf8ck.jpg,/uploads/235_1550-1775111575940-0258svbdv.jpg,/uploads/235_1550-1775111575943-olorecpwb.jpg,/uploads/235_1550-1775111575947-9takeibrb.jpg,,,,,,
236_1788,,,,,,,,,,,,false,false,false,/uploads/236_1788-1775111575952-7hs9iy5ye.jpg,/uploads/236_1788-1775111575956-737u404gb.jpg|/uploads/236_1788-1775111575961-i9ve4vnfv.jpg|/uploads/236_1788-1775111575965-zrfqqsu1c.jpg|/uploads/236_1788-1775111575969-32cjze1lx.jpg|/uploads/236_1788-1775111575973-uyvo3exlo.jpg|/uploads/236_1788-1775111575977-kg0j4f947.jpg|/uploads/236_1788-1775111575980-j3hxhruwh.jpg|/uploads/236_1788-1775111575984-n3mcxzd21.jpg|/uploads/236_1788-1775111575988-8nw1x7ko7.jpg|/uploads/236_1788-1775111575993-7euu7gsre.jpg|/uploads/236_1788-1775111575997-n2ctag055.jpg|/uploads/236_1788-1775111576002-7wfahekwz.jpg|/uploads/236_1788-1775111576005-g6l9djet9.jpg|/uploads/236_1788-1775111576008-hqao22ft5.jpg|/uploads/236_1788-1775111576014-aur17zki0.jpg,/uploads/236_1788-1775111575952-7hs9iy5ye.jpg,/uploads/236_1788-1775111575956-737u404gb.jpg,/uploads/236_1788-1775111575961-i9ve4vnfv.jpg,/uploads/236_1788-1775111575965-zrfqqsu1c.jpg,/uploads/236_1788-1775111575969-32cjze1lx.jpg,/uploads/236_1788-1775111575973-uyvo3exlo.jpg,/uploads/236_1788-1775111575977-kg0j4f947.jpg,/uploads/236_1788-1775111575980-j3hxhruwh.jpg,/uploads/236_1788-1775111575984-n3mcxzd21.jpg,/uploads/236_1788-1775111575988-8nw1x7ko7.jpg,/uploads/236_1788-1775111575993-7euu7gsre.jpg,/uploads/236_1788-1775111575997-n2ctag055.jpg,/uploads/236_1788-1775111576002-7wfahekwz.jpg,/uploads/236_1788-1775111576005-g6l9djet9.jpg,/uploads/236_1788-1775111576008-hqao22ft5.jpg,/uploads/236_1788-1775111576014-aur17zki0.jpg,
237_511,,,,,,,,,,,,false,false,false,/uploads/237_511-1775111576018-5b6lvjrv2.jpg,/uploads/237_511-1775111576022-4rk68cbuj.jpg|/uploads/237_511-1775111576026-0jrub4za3.jpg|/uploads/237_511-1775111576030-3z62bld9l.jpg|/uploads/237_511-1775111576034-acmcc5fiu.jpg|/uploads/237_511-1775111576038-zl28was16.jpg|/uploads/237_511-1775111576040-a8b964jhe.jpg|/uploads/237_511-1775111576043-0wi7963rl.jpg|/uploads/237_511-1775111576046-muyp4tsgk.jpg|/uploads/237_511-1775111576049-6g0v9heis.jpg,/uploads/237_511-1775111576018-5b6lvjrv2.jpg,/uploads/237_511-1775111576022-4rk68cbuj.jpg,/uploads/237_511-1775111576026-0jrub4za3.jpg,/uploads/237_511-1775111576030-3z62bld9l.jpg,/uploads/237_511-1775111576034-acmcc5fiu.jpg,/uploads/237_511-1775111576038-zl28was16.jpg,/uploads/237_511-1775111576040-a8b964jhe.jpg,/uploads/237_511-1775111576043-0wi7963rl.jpg,/uploads/237_511-1775111576046-muyp4tsgk.jpg,/uploads/237_511-1775111576049-6g0v9heis.jpg,,,,,,,
238_1399,,,,,,,,,,,,false,false,false,/uploads/238_1399-1775111576053-rdhayrxfn.jpg,/uploads/238_1399-1775111576057-2pyvef5qx.jpg|/uploads/238_1399-1775111576060-u5q1fsal7.jpg|/uploads/238_1399-1775111576062-s7oi9cxx9.jpg|/uploads/238_1399-1775111576065-xv4feutgn.jpg|/uploads/238_1399-1775111576068-io3uduxx1.jpg|/uploads/238_1399-1775111576071-xor31asom.jpg|/uploads/238_1399-1775111576074-2al9tkvj2.jpg,/uploads/238_1399-1775111576053-rdhayrxfn.jpg,/uploads/238_1399-1775111576057-2pyvef5qx.jpg,/uploads/238_1399-1775111576060-u5q1fsal7.jpg,/uploads/238_1399-1775111576062-s7oi9cxx9.jpg,/uploads/238_1399-1775111576065-xv4feutgn.jpg,/uploads/238_1399-1775111576068-io3uduxx1.jpg,/uploads/238_1399-1775111576071-xor31asom.jpg,/uploads/238_1399-1775111576074-2al9tkvj2.jpg,,,,,,,,,
239_1812,,,,,,,,,,,,false,false,false,/uploads/239_1812-1775111576077-sw9fmbpmt.jpg,/uploads/239_1812-1775111576080-6ds0nsvja.jpg,/uploads/239_1812-1775111576077-sw9fmbpmt.jpg,/uploads/239_1812-1775111576080-6ds0nsvja.jpg,,,,,,,,,,,,,,,
240_1330,,,,,,,,,,,,false,false,false,/uploads/240_1330-1775111576084-t2nr62v27.jpg,/uploads/240_1330-1775111576087-lp25lbpy2.jpg|/uploads/240_1330-1775111576091-0xxt9vf20.jpg|/uploads/240_1330-1775111576095-6nj0nypqx.jpg|/uploads/240_1330-1775111576098-ex1k9j1at.jpg|/uploads/240_1330-1775111576101-16l2pid21.jpg|/uploads/240_1330-1775111576104-pn6flojmm.jpg|/uploads/240_1330-1775111576106-kraakbx2a.jpg|/uploads/240_1330-1775111576109-pnc4zen1j.jpg|/uploads/240_1330-1775111576113-mxu7w5loc.jpg|/uploads/240_1330-1775111576116-91nx3v71z.jpg,/uploads/240_1330-1775111576084-t2nr62v27.jpg,/uploads/240_1330-1775111576087-lp25lbpy2.jpg,/uploads/240_1330-1775111576091-0xxt9vf20.jpg,/uploads/240_1330-1775111576095-6nj0nypqx.jpg,/uploads/240_1330-1775111576098-ex1k9j1at.jpg,/uploads/240_1330-1775111576101-16l2pid21.jpg,/uploads/240_1330-1775111576104-pn6flojmm.jpg,/uploads/240_1330-1775111576106-kraakbx2a.jpg,/uploads/240_1330-1775111576109-pnc4zen1j.jpg,/uploads/240_1330-1775111576113-mxu7w5loc.jpg,/uploads/240_1330-1775111576116-91nx3v71z.jpg,,,,,,
241_2217,,,,,,,,,,,,false,false,false,/uploads/241_2217-1775111576119-7b3kqqjkp.jpg,/uploads/241_2217-1775111576122-u4xj05vea.jpg|/uploads/241_2217-1775111576126-hua2cy7y4.jpg|/uploads/241_2217-1775111576131-05mfr2s3m.jpg|/uploads/241_2217-1775111576134-ox2unbko6.jpg|/uploads/241_2217-1775111576136-9h5m9msv7.jpg|/uploads/241_2217-1775111576140-30tsgg47h.jpg,/uploads/241_2217-1775111576119-7b3kqqjkp.jpg,/uploads/241_2217-1775111576122-u4xj05vea.jpg,/uploads/241_2217-1775111576126-hua2cy7y4.jpg,/uploads/241_2217-1775111576131-05mfr2s3m.jpg,/uploads/241_2217-1775111576134-ox2unbko6.jpg,/uploads/241_2217-1775111576136-9h5m9msv7.jpg,/uploads/241_2217-1775111576140-30tsgg47h.jpg,,,,,,,,,,
242_899,,,,,,,,,,,,false,false,false,/uploads/242_899-1775111576143-oqyjxpp99.jpg,/uploads/242_899-1775111576146-n6dvo2oou.jpg|/uploads/242_899-1775111576149-wxjeif9ay.jpg|/uploads/242_899-1775111576151-gl2pt3ki9.jpg|/uploads/242_899-1775111576154-duwggfnm4.jpeg|/uploads/242_899-1775111576157-juily7l4f.jpg|/uploads/242_899-1775111576160-iadu9jc05.jpg,/uploads/242_899-1775111576143-oqyjxpp99.jpg,/uploads/242_899-1775111576146-n6dvo2oou.jpg,/uploads/242_899-1775111576149-wxjeif9ay.jpg,/uploads/242_899-1775111576151-gl2pt3ki9.jpg,/uploads/242_899-1775111576154-duwggfnm4.jpeg,/uploads/242_899-1775111576157-juily7l4f.jpg,/uploads/242_899-1775111576160-iadu9jc05.jpg,,,,,,,,,,
BZ-207,,,,,,,,,,,,false,false,false,/uploads/BZ-207-1775111576165-pnn829rw1.jpg,/uploads/BZ-207-1775111576168-ao7pbdrfq.jpg|/uploads/BZ-207-1775111576171-n5wp7tgvq.jpg|/uploads/BZ-207-1775111576173-zru62zf4z.jpg|/uploads/BZ-207-1775111576176-ouvk8zjds.jpg|/uploads/BZ-207-1775111576179-bbkwe8pwq.jpg|/uploads/BZ-207-1775111576181-c8jghrvus.jpg|/uploads/BZ-207-1775111576185-ilg08ywaz.jpg|/uploads/BZ-207-1775111576187-qjl0ow8zd.jpg|/uploads/BZ-207-1775111576190-h4qfy6ah4.jpg|/uploads/BZ-207-1775111576193-ejk5fg2vy.jpg|/uploads/BZ-207-1775111576196-hldnpfmql.jpg|/uploads/BZ-207-1775111576199-vkfsrdcj4.jpg,/uploads/BZ-207-1775111576165-pnn829rw1.jpg,/uploads/BZ-207-1775111576168-ao7pbdrfq.jpg,/uploads/BZ-207-1775111576171-n5wp7tgvq.jpg,/uploads/BZ-207-1775111576173-zru62zf4z.jpg,/uploads/BZ-207-1775111576176-ouvk8zjds.jpg,/uploads/BZ-207-1775111576179-bbkwe8pwq.jpg,/uploads/BZ-207-1775111576181-c8jghrvus.jpg,/uploads/BZ-207-1775111576185-ilg08ywaz.jpg,/uploads/BZ-207-1775111576187-qjl0ow8zd.jpg,/uploads/BZ-207-1775111576190-h4qfy6ah4.jpg,/uploads/BZ-207-1775111576193-ejk5fg2vy.jpg,/uploads/BZ-207-1775111576196-hldnpfmql.jpg,/uploads/BZ-207-1775111576199-vkfsrdcj4.jpg,,,,
